block_id,publisher,work,volume,title_as_entered,match_key,alias_merged,occurrence,status,seat,entry_no
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Opus One,opus one,,1,declined,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Perdido,perdido,,1,seated,List 4,56
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Poinciana,poinciana,,1,seated,List 2,58
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Robbin's Nest,robbin's nest,,1,seated,List 4,57
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",So Rare,so rare,,1,declined,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Things Ain't What They Used To Be,things ain't what they used to be,,1,seated,List 1A,82
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",When Lights Are Low,when lights are low,,1,seated,List 2,85
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Au Privave,au privave,,1,seated,List 1A,70
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",My Little Suede Shoes,my little suede shoes,,1,seated,List 2,46
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Now's The Time,now's the time,,1,seated,List 1A,76
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Red Cross,red cross,,1,seated,List 3,136
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Rifftide,rifftide,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Social Call,social call,,1,declined,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Things Are Getting Better,things are getting better,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Bernie's Tune,bernie's tune,,1,seated,List 2,8
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Line For Lyons,line for lyons,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Look For The Silver Lining,look for the silver lining,,1,declined,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Nights At The Turntable,nights at the turntable,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Take Five,take five,,1,seated,List 1B,48
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Blue Train,blue train,,1,seated,List 1A,84
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",The Cape Verdean Blues,cape verdean blues,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Foot Pattin' Time,foot pattin' time,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Idle Moments,idle moments,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Impressions,impressions,,1,seated,List 1A,22
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Lazy Bird,lazy bird,,1,seated,List 2,41
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Sayonara Blues,sayonara blues,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Speedball,speedball,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Streamlined Stanley,streamlined stanley,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Highway 14,highway 14,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",In Your Own Sweet Way,in your own sweet way,,1,seated,List 1B,27
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Little O In The Sky,little o in the sky,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Simone,simone,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Stand For Jazz,stand for jazz,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Sweet Georgia Bright,sweet georgia bright,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Three And One,three and one,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Up Jumped Spring,up jumped spring,,1,seated,List 2,82
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Eighty One,eighty one,,1,seated,List 2,103
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",I'll Take Les,i'll take les,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Sister Cheryl,sister cheryl,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Spring Song,spring song,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",These Times,these times,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",This Masquerade,this masquerade,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Unchain My Heart,unchain my heart,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections","Yeah, Yeah, Yeah",yeah yeah yeah,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Favela,favela,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Fotografia,fotografia,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Minha Saudade,minha saudade,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Não Me Diga Adeus,nao me diga adeus,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Saudade,saudade,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Si Señora,si senora,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Brisa,brisa,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Chile Con Soul,chile con soul,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Linda Chicana,linda chicana,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Nadie,nadie,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Quindembo,quindembo,,1,outside,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Yellow Days,yellow days,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,A Day In The Life Of A Fool,manha de carnaval,Y,1,seated,List 1A,31
B04,Sher,The Latin Real Easy Book,Part 1,Agua de Beber,agua de beber,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Around The Corner,around the corner,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Berimbau,berimbau,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Bolero Para Paquito,bolero para paquito,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Caballo Viejo,caballo viejo,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Cafe Rio,cafe rio,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Camaleão,camaleao,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Chucho,chucho,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,De Repente,de repente,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Estamos Ai,estamos ai,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Inolvidable,inolvidable,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,La Cuna,la cuna,,1,outside,,
