title,programs,in_the_index,index_entry,program_list,printed_forms
What Are You Doing the Rest of Your Life?,1,,,William Paterson,
What is this Thing Called Love,10,List 1A,List 1A #64,Alabama; Cal State Long Beach; Marshall; Oregon; San Diego State; Sonoma State; Texas State; Utah; Utah Valley; William Paterson,WHAT IS THIS THING CALLED LOVE | What Is This Thing Called Love | What Is This Thing Called Love? | What is This Thing Called Love | What is This Thing Called Love? | What is this Thing Called Love
What's New?,4,List 5A,List 5A #78,Alabama; Colorado Boulder; Oregon; William Paterson,What's New | What's New? | What’s New?
When I Fall In Love,4,List 5B,List 5B #69,Alabama; Marshall; Oregon; William Paterson,
When Lights are Low,1,List 2,List 2 #85,San Diego State,
When Sunny Gets Blue,1,List 5B,List 5B #70,William Paterson,
Whisper Not,4,List 2,List 2 #86,San Diego State; Utah; Utah Valley; William Paterson,WHISPER NOT | Whisper Not
Willow Weep for Me,1,List 5A,List 5A #79,William Paterson,
Windows,2,List 2,List 2 #87,Utah; William Paterson,WINDOWS | Windows
Witchhunt,3,List 2,List 2 #88,Oregon; Utah; William Paterson,WITCH HUNT | Witch Hunt | Witchhunt
Without A Song,2,List 2,List 2 #89,Utah; William Paterson,WITHOUT A SONG | Without A Song
Woody n' You,4,List 2,List 2 #90,Central Florida; Marshall; Utah; William Paterson,WOODY 'N YOU | Woody 'N' You | Woody n' You | Woody ‘N’ You
Work Song,2,List 1A,List 1A #65,Oregon; Utah Valley,
Yardbird Suite,6,List 1B,List 1B #53,Cal State Long Beach; Central Florida; Iowa; Oregon; Utah; William Paterson,YARDBIRD SUITE | Yardbird Suite
Yes And No,1,,,Cal State Long Beach,
Yes or No,3,List 2,List 2 #91,Iowa; Utah; Western Michigan,YES OR NO | Yes or No
Yesterdays,7,List 1A,List 1A #66,Alabama; Cal State Long Beach; Marshall; Sonoma State; Texas State; Utah; William Paterson,YESTERDAYS | Yesterdays
You and the Night and the Music,3,List 2,List 2 #92,Oregon; Sonoma State; Utah,YOU & THE NIGHT & THE MUSIC | You and the Night and the Music
You Are Too Beautiful,1,List 5C,List 5C #68,William Paterson,
