title,disposition
Someone to Watch Over Me,List 5A
Something to Live For,declined
Sometime Ago,List 3
Sometimes I feel Like a Motherless Child,declined
Sometimes I'm Happy,List 4
Somewhere,declined
Song For My Father,List 1A
The Song Is Ended,declined
The Song Is You,List 1B
Sonny Boy,declined
Sonnymoon For Two,List 1A
Soon,declined
Sophisticated Lady,List 1B
Soul Eyes,List 2
Soul-Leo,declined
Soultrane,declined
South,declined
Speak Low,List 1B
Speak No Evil,List 2
Spiral,declined
S'posin',declined
Spring Can Really Hang You Up the Most,List 5A
Spring Is Here,List 5A
Squatty Roo,declined
Squeeze Me,List 4
St. James Infirmary,List 4
St Louis Blues,List 4
St. Thomas,List 1A
Stablemates,List 2
Stairway to the Stars (Park Avenue Fantasy),declined
Star Crossed Lovers,List 4
Star Dust,List 4
Star Eyes,List 1B
Stars Fell on Alabama,declined
Stay As Sweet As You Are,declined
Steeplechase,List 3
Stella By Starlight,List 1A
Step Lightly,declined
Stolen Moments,List 1B
Stompin' At the Savoy,List 4
Stop Start,declined
Stormy Monday Blues,declined
Stormy Weather (Keeps Rainin' All the Time),List 5A
Straight Ahead,declined
Straight No Chaser,List 1A
Straight Street,declined
Straight Up And Down,List 3
Straighten Up and Fly Right,declined
Strange Fruit,List 5C
Stranger in Paradise,declined
Street of Dreams,declined
Strictly Confidential,declined
Strike Up the Band,declined
String of Pearls,declined
Strollin',List 2
Struttin' with Some Barbecue,List 4
Stuffy,declined
Sugar Blues,declined
Sugar Foot Stomp,List 4
Sugar (That Sugar Baby O' Mine),List 2
Summer In Central Park,declined
The Summer Knows,declined
Summer Night,declined
Summertime,List 1A
Sunday,declined
A Sunday Kind of Love,declined
Sunny,declined
"Sunrise, Sunset",declined
Sunshower,declined
Super Jet,declined
Superstition,declined
The Surrey with the Fringe on Top,List 5B
Sweet and Lovely,declined
Sweet Georgia Brown,List 4
Sweet Lorraine,List 5B
"Sweet Sue, Just You",declined
Sweethearts on Parade,declined
"Swing Low, Sweet Chariot",declined
Swinging the Blues,declined
Syeeda's Song Flute,List 3
Taboo,declined
Tadd's Delight,declined
Tain't Nobody's Business If I Do,declined
Tain't What You Do,declined
Take Five,List 1B
"Take the ""A"" Train",List 1A
Take The Coltrane,List 3
Taking a Chance on Love,List 5C
Tangerine,List 2
A Taste of Honey,declined
Tea for Two,List 5A
Teach me Tonight,List 5B
Tell Me A Bedtime Story,List 3
Temptation,declined
Tempus Fugit,declined
Tenderly,List 5A
Tenor Madness,List 1A
Tetragon,declined
Thanks for the Memory,declined
That Old Black Magic,List 5B
That Old Devil Called Love,declined
That Old Feeling,List 5C
That's a Plenty,List 4
That's All,List 5B
Thelonious,List 3
Them There Eyes,List 5C
The Theme,declined
Theme For Ernie,declined
Theme For Maxine,declined
Then I'll Be Tired of You,List 5C
There Are Such Things,declined
There Is No Greater Love,List 1A
There Will Never Be Another You,List 1A
There'll Be Some Changes Made,declined
There's a Lull in My Life,declined
There's a Small Hotel,List 5C
There's No You,declined
These Foolish Things,List 5A
They All Laughed,declined
They Can't Take That Away from Me,List 5A
They Didn't Believe Me,declined
They Say,declined
They Say It's Wonderful,declined
Things Ain't What They Used to Be,List 1A
The Things We Did Last Summer,declined
Think Of One,declined
Think On Me,declined
This Can't Be Love,List 5B
This Here,List 3
This I Dig Of You,List 2
This Is All I Ask,declined
This Is Always,declined
This Is For Albert,declined
This Is New,declined
This Love of Mine,declined
This Time the Dream's on Me,declined
This Year's Kisses,declined
Thou Swell,declined
Three Flowers,declined
Three Little Words,List 4
The Thrill Is Gone,declined
Tickle Toe,declined
Tico Tico (Tico No Fuba),List 2
Tiger Rag,declined
Time After Time,List 5A
A Time for Love,List 5C
Time on My Hands,declined
Time Out,declined
Time Was,declined
Tin Roof Blues,List 4
Tin Tin Deo,List 2
Tiny Capers,declined
'Tis Autumn,declined
To Each His Own,declined
To Kill A Brick,declined
Together,declined
Tom Thumb,declined
Tomorrow's Destiny,declined
Tones For Joan's Bones,List 3
Tonight,declined
Too Close for Comfort,declined
Too Late Now,declined
Too Marvelous for Words,List 5B
Too Young to Go Steady,declined
Topsy,declined
The Touch of Your Lips,List 5C
Tour De Force,declined
Toy Tune,declined
Travelin' Light,declined
Tricotism,List 3
Trinkle Tinkle,List 3
Triste,List 1B
Trouble in Mind,declined
Trust in Me,declined
Try a Little Tenderness,declined
Tune Up,List 1A
Tuxedo Junction,declined
Two Bass Hit,List 2
Two Sleepy People,declined
Tyrone,declined
Ugetsu (AKA Fantasy In D),List 3
Un Poco Loco,List 2
Una Mas,List 3
Una Muy Bonita,declined
Undecided,List 4
Under a Blanket of Blue,declined
Unforgettable,List 5C
Unit Seven,List 2
United,declined
Until I Met You (Corner Pocket),List 4
Until the Real Thing Comes Along,declined
Up 'gainst The Wall,declined
Up Jumped Spring,List 2
Upper Manhattan Medical Group (UMMG),List 2
Valse Hot,List 3
Valse Triste,declined
Very Early,List 3
The Very Thought of You,List 5A
Vierd Blues,List 3
Violets for Your Furs,List 5B
Virgo,declined
Voyage,List 3
Wabash,declined
Wail,List 3
Wait Till You See Her,declined
Walk on By,declined
Walkin',List 1A
Walkin' My Baby Back Home,declined
Waltz for Debby,List 2
Warm Valley,List 4
Watch What Happens,List 5B
Watermelon Man,List 1A
The Water's Edge,declined
Wave,List 1A
Way Down Yonder in New Orleans,List 4
The Way You Look Tonight,List 5A
Weary Blues,List 4
We'll Be Together Again,List 5B
Well You Needn't,List 1A
West Coast Blues,List 2
West End Blues,List 4
Wham,declined
What a Difference a Day Made,List 5B
What a Wonderful World,declined
What Am I Here For,List 4
What Are You Doing New Year's Eve?,declined
What Are You Doing the Rest of Your Life,declined
What Is There to Say,declined
What Is This Thing Called Love?,List 1A
What Kind of Fool Am I?,declined
What The World Needs Now Is Love,declined
What Will I Tell My Heart,declined
What'll I Do,declined
What's New?,List 5A
When a Woman Loves a Man,declined
When Day Is Done,declined
When I Fall in Love,List 5B
When It's Sleepy Time Down South,List 4
When Lights Are Low,List 2
When Sunny Gets Blue,List 5B
When the Saints Go Marching In,List 4
When the Sun Comes Out,declined
When Will The Blues Leave?,List 3
When You Wish Upon a Star,declined
When Your Lover Has Gone,List 5B
When You're Smiling,List 4
Where Are You,declined
Where or When,List 5B
While My Lady Sleeps,declined
Whisper Not,List 2
Whispering,List 4
White Christmas,declined
Who,declined
Who Can I Turn To?,List 5C
Who Cares? (So Long As You Care for Me),declined
Who's Sorry Now?,declined
Why Do I Love You?,declined
Why Was I Born,declined
Wild Flower,declined
Wild Man Blues,List 4
Will You Still Be Mine,List 5B
Willow Weep for Me,List 5A
Windows,List 2
Wingspan,declined
Winter Wonderland,declined
Wise One,List 3
Witch Hunt,List 2
Witchcraft,List 5B
With a Song in My Heart,declined
Without a Song,List 2
Wives and Lovers (Hey Little Girl),List 5B
Wolverine Blues,List 4
Wonder Why,declined
"Wonderful, Wonderful",declined
Woody'n You,List 2
Work,declined
Work Song,List 1A
The World Is Waiting for the Sunrise,declined
Worry Later (AKA San Francisco Holiday),declined
Wrap Your Troubles in Dreams,List 5C
Y Todavia La Quiero,declined
Yardbird Suite,List 1B
Yes Or No,List 2
Yesterday,declined
Yesterdays,List 1A
You and the Night and the Music,List 2
You Are My Sunshine,declined
You Are Too Beautiful,List 5C
You Better Go Now,declined
You Brought a New Kind of Love to Me,declined
You Can Depend on Me,List 4
You Do Something to Me,declined
You Don't Know What Love Is,List 1A
You Go to My Head,List 5A
You Know I Care,declined
You Leave Me Breathless,declined
You Made Me Love You,declined
You Make Me Feel so Young,declined
You Must Believe in Spring,List 5B
You Say You Care,declined
You Stepped Out of a Dream,List 1A
You Taught My Heart To Sing,declined
You Took Advantage of Me,List 5B
You Turned the Tables on Me,declined
You'd Be So Nice to Come Home To,List 2
You'll Never Know,declined
Young and Foolish,declined
Young At Heart,declined
You're a Lucky Guy,declined
You're a Sweetheart,declined
(You’re a) Weaver Of Dreams,declined
You're Blase,declined
You're Driving Me Crazy (What Did I Do?),List 5C
You're Getting to Be a Habit with Me,declined
You're Mine You,declined
You're My Everything,declined
You're My Thrill,declined
You're the Top,declined
Yours Is My Heart Alone,declined
You've Changed,List 5B
