title	warrant_1_rank	warrant_2_chapter	watkins_list1	watkins_list2	watkins_categorical	miller_calls	scan_mark_by_rule	graded_volumes	graded_floor	panel_reaches	verdict	division	tier	ground_if_declined
Moment's Notice	576		13				W	0		yes				
Monk's Dream	798							0		yes				
Monk's Mood	542							0		yes				
The Mooche	714							0						
Mood Indigo	161					4		0		yes				
Moon Alley		yes						0						
Moon Rays		yes						0						
Moon River	684							1	Foundational					
Moon Song (That Wasn't Meant for Me)	776							0						
Moonglow	128					1		0						
Moonlight Becomes You	907							0						
Moonlight in Vermont	141			5		7	WM	1	Intermediate					
Moonlight Serenade	882							0						
The Moontrane		yes						0		yes				
Moose the Mooche	699				8			1	Intermediate	yes				
More	769							0						
The More I See You	318							0		yes				
More Than You Know	72							0		yes				
Morning		yes						0						
Morning Star		yes						0						
Mosaic		yes						0						
The Most Beautiful Girl In The World		yes						0						
Moten Swing	249							0						
Move	510							0		yes				
Mr. Clean		yes						0						
Mr. Day (AKA One And Four)		yes						1	Intermediate					
Mr. P.C.		yes	10		17	22	WM	4	Foundational	yes				
Mr. Syms		yes						0						
Muskrat Ramble	342							0						
My Baby Just Cares for Me	922							0						
My Blue Heaven	406							0						
My Buddy	496					1		0						
My Favorite Things	333			5		5	WM	1	Foundational	yes				
My Foolish Heart	103		10			1	WM	0		yes				
My Funny Valentine	6		15			5	WM	1	Intermediate	yes				
My Heart Belongs to Daddy	584							0						
My Heart Stood Still	246							0						
My Honey's Lovin' Arms	873							0						
My Ideal	379							0						
My Little Brown Book		yes						0						
My Little Suede Shoes	587					6		4	Foundational	yes				
My Man	472							0						
My Man's Gone Now	481							0						
My Melancholy Baby	164							0						
My Monday Date	845							0						
My Old Flame	101							0		yes				
My One and Only Love	97			9		1	WM	0		yes				
My Reverie	862							0						
My Romance	91		12				W	0		yes				
My Shining Hour	307			6		6	WM	0		yes				
My Ship	292							0		yes				
My Silent Love	746							0						
Nagasaki	617							0						
Naima	263					4		0		yes				
Namely You	782							0						
Nancy (with the Laughing Face)	622							0		yes				
Nardis	633			7		12	WM	0		yes				
Nature Boy	115					3		0						
The Nearness of You	64			5		2	WM	0		yes				
Nefertiti		yes						0		yes				
Never Let Me Go	332							0						
New Orleans	867							0						
New York		yes						0						
Nica's Dream	418		10			9	WM	0		yes				
Nica's Tempo		yes						0						
Nice Work If You Can Get It	158							0						
Night and Day	33		16			7	WM	1	Foundational	yes				
Night Dreamer		yes				1		0		yes				
The Night Has a Thousand Eyes	273			5			W	0		yes				
Night in Tunisia	40		14			44	WM	1	Emerging Intermediate	yes				
Night Train	638				5			1	Intermediate					
The Night We Called It a Day	445							0						
A Nightingale Sang in Berkeley Square	804							0						
No Blues (AKA Pfrancing)		yes			2			0						
No Moon At All	569					4		0						
No More	659							0						
Nobody Else but Me	657							0						
Nobody Knows the Trouble I've Seen	538							0						
Nobody Knows You When You're Down and Out	979							0						
Nobody's Sweetheart Now	843							0						
Nostalgia In Times Square		yes						1	Foundational					
Now It Can Be Told	970							0						
Now's the Time	354		10		17	2	WM	2	Foundational	yes				
Nuages	504							0						
Nutty		yes				1		0						
Nutville		yes			3			0		yes				
O Grande Amor		yes				2		0						
O Little Town of Bethlehem	977							0						
Oblivion		yes						0						
Off Minor	876					2		0		yes				
Oh, Lady Be Good!	22							0		yes				
Oh You Crazy Moon	783							0						
Ojos De Rojo		yes						0						
Ol' Man River	236							0						
Old Devil Moon	242							0		yes				
Old Folks	144							0		yes				
Old Folks at Home	492							0						
Oleo	280		21		30	1	WM	0		yes				
Oliloqui Valley		yes						0						
On a Clear Day (You Can See Forever)	800							0		yes				
On A Misty Night		yes						1	Intermediate					
On a Slow Boat to China	630					4		1	Foundational					
On Green Dolphin Street	25		26			33	WM	1	Foundational	yes				
On the Alamo	359							0						
On The Nile		yes						0						
On the Street Where You Live	330							0						
On the Sunny Side of the Street	55					20	M	0		yes				
On the Trail	641							1	Emerging Intermediate	yes				
Once I Loved	683			6			W	2	Foundational	yes				
Once in a While	262							0						
One By One		yes				1		0						
One Down, One Up		yes						0						
One Finger Snap		yes						0		yes				
One for My Baby (And One More for the Road)	739							0						
The One I Love (Belongs to Somebody Else)	737							0						
One Note Samba	533			9		3	WM	0		yes				
One O'clock Jump	175							1	Intermediate					
One's Own Room		yes						0						
(Ooh) What a Little Moonlight Can Do	534					6		0						
Opus De Funk		yes						0						
Opus One	948							1	Intermediate					
Organ Grinder's Swing	736							0						
Oriental Folk Song		yes						0						
Ornithology	462		10			25	WM	1	Intermediate	yes				
An Oscar For Treadwell		yes						0						
Our Delight	467							0						
Our Man Higgins		yes						0						
Our Waltz		yes						0						
Out of Nowhere	68		10			2	WM	1	Foundational	yes				
Out of This World	434							0						
Over the Rainbow	63			7			W	0		yes				
Overtaken By A Moment		yes						0						
Ow!	858							0						
Panama	493							0						
Pannonica	494							0		yes				
Paris Eyes		yes						0						
Parisian Thoroughfare		yes						0		yes				
Parker's Mood	488				2			0						
The Party's Over	704							0						
Passion Dance		yes						1	Intermediate	yes				
Passion Flower	411							0						
Paul's Pal		yes						1	Intermediate					
Peace	923			7			W	1	Intermediate	yes				
Peace Piece		yes						0						
The Peacocks	605							0						
The Peanut Vendor	519							0						
Peg O' My Heart	655							0						
Penelope		yes						0						
Pennies from Heaven	81					1		0						
Pensativa		yes						0		yes				
Penthouse Serenade	580							0						
Pent-Up House		yes				1		0		yes				
People	508							0						
People Will Say We're in Love	806							0						
Perdido	58		10			1	WM	2	Foundational	yes				
Peresina		yes						0						
Perfidia	885							1	Emerging Intermediate					
Picadilly Lily		yes						0						
Pick Yourself Up	550							0						
Pinetop's Boogie Woogie	965							0						
Pinocchio		yes						0		yes				
Played Twice		yes						0						
Please Be Kind	697							0						
(Please) Do It Again	915							0						
Please Don't Talk About Me When I'm Gone	634							0						
Please Send Me Someone to Love	322							0						
Poinciana	334							3	Foundational					
Polka Dots and Moonbeams	79			6			W	0		yes				
Poor Butterfly	196							0		yes				
Poor People's March		yes						0						
Portrait of Jennie	795							0						
Power To The People		yes						0						
The Preacher	599							1	Emerging Intermediate	yes				
Prelude to a Kiss	46			8			W	0		yes				
Pretty Eyes		yes						0						
Prince Albert		yes						0		yes				
Prisoner of Love	670							0						
P.S. I Love You	774					4		0						
Punjab		yes						0						
Pursuance		yes						0						
Put Your Little Foot Right Out		yes						0						
Quasimodo		yes						0						
Quicksilver		yes						0		yes				
Rahsaan's Run		yes						0						
Raincheck	412							0						
Ramblin'		yes						0						
Rapture		yes						0						
Ray's Idea	780							0						
Recordame (AKA No Me Esqueca)		yes	18			52	WM	2	Foundational	yes				
Red Clay		yes			1	1		0		yes				
Red Cross	978							1	Intermediate					
Red Sails in the Sunset	600							0						
Red Top	855				3			0						
Reflections	706					6		0						
Reflections In D		yes						0						
Relaxin' At Camarillo	748				3			0		yes				
Remember	362							0						
Resolution		yes						0						
Rhythm-A-Ning	347				7	2		0		yes				
Right Now		yes						0						
Ring Dem Bells	932							0						
Riot		yes						0						
Rise 'n Shine		yes						0						
Riverboat Shuffle	985							0						
Robbin's Nest	710							1	Intermediate					
Rockin' Chair	437							0						
Rockin' in Rhythm	369							0						
Rocks in My Bed	933							0						
Roll 'Em	814							0						
Roll 'Em Pete	930							0						
Room 608		yes			1			1	Intermediate	yes				
Rosalie	939							0						
Rose of the Rio Grande	732							0						
Rose Room	199							0						
Rosetta	203							0						
Rosewood		yes						0						
'Round Midnight	4		17			4	WM	1	Emerging Intermediate	yes				
Route 66	899				3	1		0		yes				
Royal Garden Blues	204				2			0						
Ruby	637							0						
Ruby My Dear	355					1		0		yes				
Rudolph the Red-Nosed Reindeer	981							0						
Runnin' Wild	482							0						
Russian Lullaby	469							0						
'S Wonderful!	98							0						
Sail Away		yes						0		yes				
Salt Peanuts	796				3			0		yes				
Samba De Orpheus		yes				2		1	Foundational					
Same Shame		yes						0						
Sandu		yes			5	8		0		yes				
Sans Souci		yes						0						
Santa Claus Is Coming to Town	417							0						
Satellite		yes						0						
Satin Doll	45		17			5	WM	7	Foundational	yes				
Say It Isn't So	639							0						
Say It (Over And Over Again)		yes						0						
The Scene Is Clean		yes						0						
Scrapple from the Apple	271			9		12	WM	2	Foundational	yes				
Search For Peace		yes						0						
Second Balcony Jump		yes						0						
The Second Time Around	646							0						
Secret Love	311					1		0		yes				
See See Rider	468							0						
Send in the Clowns	707							0						
Sent for You Yesterday	816							0						
Sentimental Journey	792							0						
Señor Blues		yes			1			1	Foundational					
September in the Rain	274							0						
September Song	76							0						
Serenade in Blue	693							0						
Serenata	891							0						
Serenity		yes						0						
The Serpent's Tooth		yes			1			0						
Seven Come Eleven	562				2			0						
Seven Steps To Heaven		yes		6			W	0		yes				
A Shade Of Jade		yes						0						
The Shadow of Your Smile	276		10				W	1	Foundational	yes				
Shall We Dance		yes						0						
Shaw Nuff	601				3			0		yes				
She		yes						0						
Sheik of Araby	165							0						
She's Funny That Way	192							0						
Shim-Me-Sha-Wabble	826							0						
Shine	498							0						
Shine on Harvest Moon	846							0						
Shiny Stockings	421							1	Intermediate					
Shoe Shine Boy	644							0						
Short Story		yes						0						
Sidewinder	727				4			1	Foundational	yes				
Silent Night, Holy Night	476							0						
Silver's Serenade		yes						1	Intermediate	yes				
Since I Fell for You	197							0						
Sing, Sing, Sing	624							1	Foundational					
Singin' in the Rain	954							0						
Sippin' At Bell's	851				3			0		yes				
Sister Sadie	544							1	Foundational	yes				
Sky Dive		yes						1	Intermediate	yes				
Skylark	62			8		2	WM	0		yes				
A Sleepin' Bee	701							0						
Smile	524					1		0						
Smiles	777							0						
Smoke Gets in Your Eyes	99							0						
Smooth Sailing	961							0						
Snowfall	900							0						
So Beats My Heart For You		yes						0						
So in Love (Am I)	443							0						
So Near So Far		yes						0						
So Rare	946							1	Intermediate					
So What	435		14			11	WM	1	Emerging Intermediate	yes				
Social Call		yes						1	Intermediate					
Soft Winds	314							0						
Softly As in a Morning Sunrise	132		18			24	WM	2	Foundational	yes				
Solar	402		14			18	WM	2	Foundational	yes				
Solid		yes				2		0		yes				
Solitude	136							0		yes				
Some of These Days	405							0						
Some Other Blues		yes			2			1	Intermediate	yes				
Some Other Spring	631							0						
Some Other Time		yes						0		yes				
Somebody Loves Me	172							0						
Somebody Stole My Gal	593							0						
Someday My Prince Will Come	240		19			12	WM	0		yes				
Someday Sweetheart	364							0						
Someone to Watch Over Me	77			5			W	0						
Something to Live For	439							0						
Sometime Ago	831							0						
Sometimes I feel Like a Motherless Child	505							0						
Sometimes I'm Happy	149							0						
Somewhere	719							0						
Song For My Father		yes	10			13	WM	3	Foundational	yes				
The Song Is Ended	598							0						
The Song Is You	159			8			W	0		yes				
Sonny Boy	664							0						
Sonnymoon For Two		yes		8	11		W	2	Foundational	yes				
Soon	381							0						
Sophisticated Lady	31			7		1	WM	0		yes				
Soul Eyes	477							0						
Soul-Leo		yes						0						
Soultrane		yes						0						
South	849							0						
Speak Low	120		12			2	WM	1	Foundational	yes				
Speak No Evil		yes		7		5	WM	0		yes				
Spiral		yes						0						
S'posin'		yes						1	Intermediate					
Spring Can Really Hang You Up the Most	755							0		yes				
Spring Is Here	228							0		yes				
Squatty Roo	711							0						
Squeeze Me	171							0						
St. James Infirmary	239							4	Foundational					
St Louis Blues	20				3			3	Foundational					
St. Thomas	371		12			29	WM	2	Foundational	yes				
Stablemates	424		10				W	0		yes				
Stairway to the Stars (Park Avenue Fantasy)	167							0						
Star Crossed Lovers	829							0		yes				
Star Dust	12			8			W	0		yes				
Star Eyes	87		12			1	WM	1	Foundational	yes				
Stars Fell on Alabama	238					1		0		yes				
Stay As Sweet As You Are		yes						0						
Steeplechase		yes			3			0		yes				
Stella By Starlight	10		26			12	WM	0		yes				
Step Lightly		yes						0						
Stolen Moments	853			7	13	6	WM	1	Foundational	yes				
Stompin' At the Savoy	48			6		1	WM	0		yes				
Stop Start		yes						0						
Stormy Monday Blues	925							0						
Stormy Weather (Keeps Rainin' All the Time)	106					1		0						
Straight Ahead		yes						0						
Straight No Chaser	163		13		19	7	WM	0		yes				
Straight Street		yes						0						
Straight Up And Down		yes						0						
Straighten Up and Fly Right	951				3			0						
Strange Fruit	681							0						
Stranger in Paradise	968							0						
Street of Dreams	376							0						
Strictly Confidential		yes						0						
Strike Up the Band	320							0						
String of Pearls	960							0						
Strollin'	709							0		yes				
Struttin' with Some Barbecue	556							0						
Stuffy	692							0						
Sugar Blues	791							0						
Sugar Foot Stomp	813							0						
Sugar (That Sugar Baby O' Mine)	269			9			W	3	Emerging Intermediate	yes				
Summer In Central Park		yes						0						
The Summer Knows	608							0						
Summer Night	839							0						
Summertime	3		16			17	WM	4	Foundational	yes				
Sunday	281							0						
A Sunday Kind of Love	752							0						
Sunny	606							1	Foundational					
Sunrise, Sunset		yes						0						
Sunshower		yes						0						
Super Jet		yes						1	Intermediate					
Superstition	991							0						
The Surrey with the Fringe on Top	399							0						
Sweet and Lovely	142							0		yes				
Sweet Georgia Brown	16		11			1	WM	1	Emerging Intermediate	yes				
Sweet Lorraine	37							0						
Sweet Sue, Just You	193							0						
Sweethearts on Parade	956							0						
Swing Low, Sweet Chariot	478							0						
Swinging the Blues	520							0						
Syeeda's Song Flute		yes						0						
Taboo	850							0						
Tadd's Delight		yes						0						
Tain't Nobody's Business If I Do	653							0						
Tain't What You Do	835							0						
Take Five	656			3		10	WM	2	Intermediate	yes				
"Take the ""A"" Train"	23		26			21	WM	2	Foundational	yes				
Take The Coltrane		yes						0		yes				
Taking a Chance on Love	214					1		0						
Tangerine	212					1		0		yes				
A Taste of Honey	893							0						
Tea for Two	59							0						
Teach me Tonight	444							0						
Tell Me A Bedtime Story		yes						0						
Temptation	957							0						
Tempus Fugit		yes				6		0						
Tenderly	26			9		1	WM	0		yes				
Tenor Madness		yes		9	16	12	WM	2	Foundational	yes				
Tetragon		yes						0						
Thanks for the Memory	762							0						
That Old Black Magic	180					1		0						
That Old Devil Called Love	824							0						
That Old Feeling	244							0						
That's a Plenty	571							0						
That's All	261							0						
Thelonious		yes						0						
Them There Eyes	264							0						
The Theme		yes			5			0						
Theme For Ernie		yes						0						
Theme For Maxine		yes						0						
Then I'll Be Tired of You	551							0						
There Are Such Things	913							0						
There Is No Greater Love	52		18			17	WM	0		yes				
There Will Never Be Another You	43		26			31	WM	1	Foundational	yes				
There'll Be Some Changes Made	401							0						
There's a Lull in My Life	924							0						
There's a Small Hotel	284							0						
There's No You	518							0						
These Foolish Things	28							0						
They All Laughed	927							0						
They Can't Take That Away from Me	86					2		0						
They Didn't Believe Me	446							0						
They Say	987							0						
They Say It's Wonderful	345					1		0						
Things Ain't What They Used to Be	92			5	10		W	2	Foundational	yes				
The Things We Did Last Summer	785							0		yes				
Think Of One		yes						0						
Think On Me		yes						1	Foundational	yes				
This Can't Be Love	123							0						
This Here		yes						0						
This I Dig Of You		yes				24	M	0		yes				
This Is All I Ask	997							0						
This Is Always	315							0						
This Is For Albert		yes						0						
This Is New		yes						0						
This Love of Mine	590							0						
This Time the Dream's on Me	416							0						
This Year's Kisses	912							0						
Thou Swell	278							0						
Three Flowers		yes						0						
Three Little Words	145							0						
The Thrill Is Gone	760							0						
Tickle Toe	679							0						
Tico Tico (Tico No Fuba)	615							1	Foundational					
Tiger Rag	259							0						
Time After Time	131							0						
A Time for Love	283							0		yes				
Time on My Hands	156							0						
Time Out	944							0						
Time Was		yes						0						
Tin Roof Blues	614							0						
Tin Tin Deo	623							1	Foundational					
Tiny Capers		yes						0						
'Tis Autumn	621							0						
To Each His Own	1000							0						
To Kill A Brick		yes						0						
Together	749							0						
Tom Thumb		yes						0						
Tomorrow's Destiny		yes						0						
Tones For Joan's Bones		yes						0		yes				
Tonight	916							0						
Too Close for Comfort	391							0						
Too Late Now	620							0						
Too Marvelous for Words	344							0						
Too Young to Go Steady	972							0		yes				
Topsy	385							1	Intermediate					
The Touch of Your Lips	474							0		yes				
Tour De Force		yes						0						
Toy Tune		yes						0						
Travelin' Light	425							0						
Tricotism		yes						0		yes				
Trinkle Tinkle	647							0						
Triste	879		10				W	1	Intermediate	yes				
Trouble in Mind	409							0						
Trust in Me	784							0						
Try a Little Tenderness	663							0						
Tune Up	652		11			2	WM	2	Foundational	yes				
Tuxedo Junction	696							0						
Two Bass Hit		yes						1	Intermediate					
Two Sleepy People	817							0						
Tyrone		yes						0						
Ugetsu (AKA Fantasy In D)		yes						0						
Un Poco Loco	793							0						
Una Mas		yes						0						
Una Muy Bonita		yes						0						
Undecided	105							0						
Under a Blanket of Blue	645							0						
Unforgettable	722							0						
Unit Seven		yes			2			1	Intermediate	yes				
United		yes						0						
Until I Met You (Corner Pocket)	522							0						
Until the Real Thing Comes Along	317							0						
Up 'gainst The Wall		yes						0						
Up Jumped Spring		yes				2		1	Intermediate	yes				
Upper Manhattan Medical Group (UMMG)	558							0						
Valse Hot		yes				4		0		yes				
Valse Triste		yes						0						
Very Early		yes						0		yes				
The Very Thought of You	107							1	Foundational					
Vierd Blues		yes			3			0		yes				
Violets for Your Furs	728							0						
Virgo		yes						0						
Voyage		yes						0		yes				
Wabash		yes						0						
Wail		yes			2			0						
Wait Till You See Her	908							0						
Walk on By	854							0						
Walkin'	341			5	8	1	WM	1	Intermediate	yes				
Walkin' My Baby Back Home	577							0						
Waltz for Debby	512							0		yes				
Warm Valley	546							0						
Watch What Happens	400			6			W	1	Foundational	yes				
Watermelon Man	609			8	14	12	WM	2	Foundational	yes				
The Water's Edge		yes						0						
Wave	216		17			14	WM	1	Intermediate	yes				
Way Down Yonder in New Orleans	368							0						
The Way You Look Tonight	27			8			W	1	Foundational	yes				
Weary Blues	613							0						
We'll Be Together Again	241							0						
Well You Needn't	313		11			41	WM	0		yes				
West Coast Blues	768				4	1		1	Intermediate	yes				
West End Blues	648							0						
Wham	980							0						
What a Difference a Day Made	367					3		0						
What a Wonderful World	945					1		0						
What Am I Here For	373							0						
What Are You Doing New Year's Eve?	974							0						
What Are You Doing the Rest of Your Life	717							0		yes				
What Is There to Say	232							0						
What Is This Thing Called Love?	8		23			19	WM	0		yes				
What Kind of Fool Am I?	993							0						
What The World Needs Now Is Love		yes						0						
What Will I Tell My Heart	819							0						
What'll I Do	751							0						
What's New?	14		11			2	WM	0		yes				
When a Woman Loves a Man	675							0						
When Day Is Done	973							0						
When I Fall in Love	137			6		1	WM	0		yes				
When It's Sleepy Time Down South	331							1	Intermediate					
When Lights Are Low	349							1	Intermediate	yes				
When Sunny Gets Blue	517							0		yes				
When the Saints Go Marching In	282					1		2	Foundational					
When the Sun Comes Out	485							0						
When Will The Blues Leave?		yes			2			0						
When You Wish Upon a Star	348							0						
When Your Lover Has Gone	217							0						
When You're Smiling	225							0						
Where Are You	353							0						
Where or When	208							0						
While My Lady Sleeps		yes						0						
Whisper Not	297			9			W	1	Intermediate	yes				
Whispering	540							0						
White Christmas	404							0						
Who	607							0						
Who Can I Turn To?		yes				2		0						
Who Cares? (So Long As You Care for Me)	419							0						
Who's Sorry Now?	454							0						
Why Do I Love You?	431							0						
Why Was I Born	377							0						
Wild Flower		yes						0						
Wild Man Blues	861							0						
Will You Still Be Mine	328							0						
Willow Weep for Me	13			5			W	0		yes				
Windows		yes						0		yes				
Wingspan		yes						0						
Winter Wonderland	326							0						
Wise One		yes						0						
Witch Hunt		yes		5		6	WM	0		yes				
Witchcraft	705			5			W	0						
With a Song in My Heart	536					1		0						
Without a Song	370							0		yes				
Wives and Lovers (Hey Little Girl)	996							0						
Wolverine Blues	669							0						
Wonder Why	635							0						
Wonderful, Wonderful		yes						0						
Woody'n You	173					4		0		yes				
Work		yes						0						
Work Song	350					13	M	3	Foundational	yes				
The World Is Waiting for the Sunrise	874							0						
Worry Later (AKA San Francisco Holiday)		yes						0						
Wrap Your Troubles in Dreams	190							0						
Y Todavia La Quiero		yes						0						
Yardbird Suite	168		12			1	WM	1	Foundational	yes				
Yes Or No		yes		5			W	0		yes				
Yesterday	619							0						
Yesterdays	9		17			6	WM	1	Foundational	yes				
You and the Night and the Music	235							0		yes				
You Are My Sunshine	919							0						
You Are Too Beautiful	449							0		yes				
You Better Go Now	555							0						
You Brought a New Kind of Love to Me	747							0						
You Can Depend on Me	375							0						
You Do Something to Me	734							0						
You Don't Know What Love Is	53		14			14	WM	0		yes				
You Go to My Head	42							0		yes				
You Know I Care		yes						0						
You Leave Me Breathless	678							0						
You Made Me Love You	947							0						
You Make Me Feel so Young	848							0						
You Must Believe in Spring	596							0						
You Say You Care		yes						0						
You Stepped Out of a Dream	96		10			1	WM	1	Emerging Intermediate	yes				
You Taught My Heart To Sing		yes						0						
You Took Advantage of Me	310							0						
You Turned the Tables on Me	660							0						
You'd Be So Nice to Come Home To	188			6			W	0		yes				
You'll Never Know	877							0						
Young and Foolish	561							0						
Young At Heart	764							0						
You're a Lucky Guy	830							0						
You're a Sweetheart	756							0						
(You’re a) Weaver Of Dreams		yes				1		0						
You're Blase	640							0						
You're Driving Me Crazy (What Did I Do?)	243							0						
You're Getting to Be a Habit with Me	770							0						
You're Mine You	525							0						
You're My Everything	393							0		yes				
You're My Thrill	374							0						
You're the Top	940							0						
Yours Is My Heart Alone	871							0						
You've Changed	395					1		0						
