index	seat	title	basis	provenance	idiom	rhythmic_frame	form_block	harmonic_terrain	latin_integrated
2	62	Seven Steps To Heaven	classified; prints on the style page	Jazz composition	Post-bop				
2	63	Sidewinder	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	boogaloo			
2	64	Sister Sadie	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo				
2	65	Soul Eyes	classified; prints on the style page	Jazz composition	Hard bop				
2	66	Spain	classified; prints on the style page	Jazz composition	Jazz-rock / fusion	samba			yes
2	67	Speak No Evil	classified; prints on the style page	Jazz composition	Post-bop				
2	68	Stablemates	classified; prints on the style page	Jazz composition	Hard bop				
2	69	Strollin'	classified; prints on the style page	Jazz composition	Hard bop				
2	70	Sugar	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	funk			
2	71	Tangerine	classified; prints on the style page	Songbook	Straight-ahead				
2	72	The Moontrane	classified; prints on the style page	Jazz composition	Post-bop				
2	73	The Peacocks	classified; prints on the style page	Jazz composition	Mainstream				
2	74	The Preacher	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	gospel			
2	75	This I Dig Of You	classified; prints on the style page	Jazz composition	Hard bop				
2	76	Tico Tico	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	choro			
2	77	Tin Tin Deo	classified; prints on the style page	Jazz composition	Latin jazz - Afro-Cuban	Afro-Cuban			
2	78	Un Poco Loco	classified; prints on the style page	Jazz composition	Latin jazz - Afro-Cuban	Afro 6/8			
2	79	Unit Seven	classified; prints on the style page	Jazz composition	Hard bop				
2	80	Up Jumped Spring	classified; prints on the style page	Jazz composition	Hard bop	jazz waltz			
2	81	Upper Manhattan Medical Group	classified; prints on the style page	Jazz composition	Swing				
2	82	Waltz for Debby	classified; prints on the style page	Jazz composition	Post-bop	jazz waltz			
2	83	When Lights Are Low	classified; prints on the style page	Jazz composition	Swing				
2	84	Whisper Not	classified; prints on the style page	Jazz composition	Hard bop				
2	85	Windows	classified; prints on the style page	Jazz composition	Post-bop	jazz waltz			
2	86	Witch Hunt	classified; prints on the style page	Jazz composition	Post-bop				
2	87	Without a Song	classified; prints on the style page	Songbook	Straight-ahead				
2	88	Woody'n You	classified; prints on the style page	Jazz composition	Bebop				
2	89	Yes Or No	classified; prints on the style page	Jazz composition	Post-bop				
2	90	You and the Night and the Music	classified; prints on the style page	Songbook	Straight-ahead				
2	91	You'd Be So Nice to Come Home To	classified; prints on the style page	Songbook	Straight-ahead				
2	92	Barbados	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
2	93	Bessie's Blues	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
2	94	Birdlike	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
2	95	Blue 'N' Boogie	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
2	96	Blue Seven	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
2	97	Blues On The Corner	classified; form block, counted at § VI.5.f	Jazz composition	Post-bop		twelve-bar blues		
2	98	Cheryl	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
2	99	Cool Blues	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
2	100	Cousin Mary	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
2	101	Eighty One	classified; form block, counted at § VI.5.f	Jazz composition	Post-bop	even eighths	twelve-bar blues		
2	102	Gingerbread Boy	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
2	103	Misterioso	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
2	104	Pfrancing	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
2	105	The Kicker	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
2	106	Two Bass Hit	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
2	107	West Coast Blues	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop	jazz waltz	twelve-bar blues		
2	108	Birk's Works	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		minor blues		
2	109	Señor Blues	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop	Afro 6/8	minor blues		yes
2	110	C.T.A.	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		rhythm changes		
2	111	Dexterity	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
2	112	Dizzy Atmosphere	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
2	113	Move	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
2	114	Salt Peanuts	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
2	115	Shaw Nuff	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
2	116	The Eternal Triangle	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		rhythm changes		
3	1	26-2	classified; prints on the style page	Jazz composition	Post-bop				
3	2	500 Miles High	classified; prints on the style page	Jazz composition	Jazz-rock / fusion	even eighths		modal or vamp	
3	3	502 Blues	classified; prints on the style page	Jazz composition	Hard bop	jazz waltz			
3	4	Afro-Centric	classified; prints on the style page	Jazz composition	Post-bop				
3	5	Ana Maria	classified; prints on the style page	Jazz composition	Post-bop	bossa nova			yes
3	6	Are You Real?	classified; prints on the style page	Jazz composition	Hard bop				
3	7	Ask Me Now	classified; prints on the style page	Jazz composition	Bebop				
3	8	Bean and the Boys	classified; prints on the style page	Jazz composition	Bebop				
3	9	Black Narcissus	classified; prints on the style page	Jazz composition	Post-bop	even eighths			
3	10	Black Nile	classified; prints on the style page	Jazz composition	Post-bop				
3	11	Blood Count	classified; prints on the style page	Jazz composition	Swing				
3	12	Boplicity	classified; prints on the style page	Jazz composition	Cool / West Coast				
3	13	Bouncin' with Bud	classified; prints on the style page	Jazz composition	Bebop				
3	14	Bright Mississippi	classified; prints on the style page	Jazz composition	Bebop				
